DATE,GDPC1
2007-01-01,15478.956
2007-04-01,15577.779
2007-07-01,15671.605
2007-10-01,15767.146
2008-01-01,15702.906
2008-04-01,15792.773
2008-07-01,15709.562
2008-10-01,15366.607
2009-01-01,15187.475
2009-04-01,15161.772
2009-07-01,15216.647
2009-10-01,15379.155
2010-01-01,15456.059
2010-04-01,15605.628
2010-07-01,15726.282
2010-10-01,15807.995
2011-01-01,15769.911
2011-04-01,15876.839
2011-07-01,15870.684
2011-10-01,16048.702
2012-01-01,16179.968
2012-04-01,16253.726
2012-07-01,16282.151
2012-10-01,16300.035
2013-01-01,16441.485
2013-04-01,16464.402
2013-07-01,16594.743
2013-10-01,16712.76
2014-01-01,16654.247
2014-04-01,16868.109
2014-07-01,17064.616
2014-10-01,17141.235
2015-01-01,17280.647
2015-04-01,17380.875
2015-07-01,17437.08
2015-10-01,17462.579
2016-01-01,17565.465
2016-04-01,17618.581
2016-07-01,17724.489
2016-10-01,17812.56
2017-01-01,17889.094
2017-04-01,17979.218
2017-07-01,18127.994
2017-10-01,18310.3
2018-01-01,18437.127
2018-04-01,18565.697
2018-07-01,18699.748
2018-10-01,18733.741
2019-01-01,18835.411
2019-04-01,18962.175
2019-07-01,19130.932
2019-10-01,19215.691
2020-01-01,18989.877
2020-04-01,17378.712
